,movie_name,code,actor1_code,actor2_code
47,브이아이피,20164174,10060114,10004060
48,특별시민,20162871,10072251,20127192
49,에이리언: 커버넌트,20179382,20112618,10086536
50,신과함께-인과 연,20186202,10087253,10069179
51,어벤져스: 인피니티 워,20177478,10016538,10066274
52,보헤미안 랩소디,20185485,10024922,10066058
53,미션 임파서블: 폴아웃,20181181,10081054,20175409
54,쥬라기 월드: 폴른 킹덤,20179086,10077262,10031727
55,앤트맨과 와스프,20180522,10083514,20179797
56,안시성,20176122,10066899,20279929
57,블랙 팬서,20170561,10025691,
58,완벽한 타인,20177538,10054128,10067353
59,독전,20179383,10067353,20208626
60,공작,20179101,10090290,20110148
61,베놈,20177221,10081106,10027310
62,암수살인,20179189,10005276,10069179
63,데드풀 2,20176848,10014018,10066274
64,국가부도의 날,20177552,10006380,10053802
65,코코,20179985,10000222,10027582
66,아쿠아맨,20180290,20127372,10049704
67,그것만이 내 세상,20176104,10055626,10054391
68,마녀,20185341,20302909,10065830
69,탐정: 리턴즈,20178161,10002387,10035832
70,인크레더블 2,20183361,10076983,10034095
71,서치,20185046,10068265,10011108
72,너의 결혼식,20153446,10028667,20128311
73,곤지암,20180804,20301569,20256609
74,지금 만나러 갑니다,20170669,10036685,10036883
75,목격자,20170670,20110148,10004448
76,조선명탐정: 흡혈괴마의 비밀,20179205,10004060,10050151
77,신비한 동물들과 그린델왈드의 범죄,20176814,10047810,10086536
78,메이즈 러너: 데스 큐어,20175054,10019472,10080483
79,맘마미아!2,20181942,10041879,10060784
80,레디 플레이어 원,20171122,10024073,10034407
81,명당,20172204,10066380,10069957
82,협상,20177308,10088975,10036883
83,마약왕,20168773,10037018,20121022
84,쥬만지: 새로운 세계,20171909,10013266,10060900
85,창궐,20174981,10088975,10060114
86,성난황소,20184481,10021341,20066637
87,도어락,20179230,10001919,20111894
88,리틀 포레스트,20170841,20201026,20208626
89,골든슬럼버,20168250,10000558,10005383
90,램페이지,20176917,10013266,10064771
91,궁합,20150969,10040874,10056227
92,오션스8,20184903,10034676,10075724
93,사라진 밤,20178781,10004396,10003507
94,스윙키즈,20175547,20209526,20233686
95,바람 바람 바람,20153447,20110148,10040665
96,PMC: 더 벙커,20170658,10087253,10055970
97,범블비,20186281,10078657,10081982
98,극한직업,20182530,10019065,20125825
99,어벤져스: 엔드게임,20184889,10016538,10077150
100,겨울왕국 2,20197803,10077984,10055204
101,알라딘,20183867,10044943,10052967
102,기생충,20183782,10037018,10055970
103,엑시트,20184621,20121022,20224649
104,스파이더맨: 파 프롬 홈,20196309,20272630,10034095
105,백두산,20192206,10055626,10087253
106,캡틴 마블,20181877,10032597,10034095
107,조커,20199950,10051376,10043652
108,봉오동 전투,20184462,10054128,20208626
109,라이온 킹,20175771,10063250,10033021
110,나쁜 녀석들: 더 무비,20188750,10021341,10004437
111,82년생 김지영,20191029,10062071,10001901
112,분노의 질주: 홉스&쇼,20196850,10013266,10063676
113,토이 스토리 4,20184047,10081113,10081814
114,돈,20176103,20208626,10054008
115,악인전,20188941,10021341,10004099
116,가장 보통의 연애,20195920,10004028,10001919
117,말모이,20184105,10054128,10054204
118,증인,20185881,10062025,10006228
119,시동,20198414,10021341,20110693
120,블랙머니,20195002,10067353,20125825
121,터미네이터: 다크 페이트,20192083,10025100,10041170
122,사바하,20177539,10057315,20110693
123,타짜: 원 아이드 잭,20184572,20110693,10019067
124,신의 한 수: 귀수편,20181434,10002387,10006545
125,알리타: 배틀 엔젤,20188282,10077744,10082878
126,내안의 그놈,20176251,10028773,20194921
127,뺑반,20180868,10001919,20208626
128,변신,20184543,20136191,10035832
129,주먹왕 랄프 2: 인터넷 속으로,20189463,10068649,10033911
130,걸캅스,20184082,10013826,20225666
131,사자,20180442,20211007,10043371
132,드래곤 길들이기 3,20186261,10063418,10041935
133,나의 특별한 형제,20185784,10040665,20111692
134,어스,20185352,10059402,20271475
135,말레피센트 2,20191589,10043730,10049256
136,유열의 음악앨범,20181416,20125838,20219146
137,퍼펙트맨,20184483,10035772,10067353
138,포드 V 페라리,20192401,10025511,10077325
139,생일,20183096,10035772,10061252
140,"힘을 내요, 미스터 리",20187322,10071140,20307189
141,항거:유관순 이야기,20196601,10001670,20126450
142,장사리 : 잊혀진 영웅들,20193601,10004060,20209286
143,마이펫의 이중생활 2,20183844,10082756,10075582
144,롱 리브 더 킹: 목포 영웅,20198453,10004028,20270289
145,쥬만지: 넥스트 레벨,20198681,10013266,10060900
146,존 윅 3: 파라벨룸,20196655,10078687,10087875
147,남산의 부장들,20180939,10055626,20110148
148,다만 악에서 구하소서,20197922,10090290,10057315
149,반도,20193450,10000558,10057329
150,히트맨,20192101,10002387,10062240
151,테넷,20201122,10067623,20111975
152,#살아있다,20193069,10053802,10028892
153,강철비2: 정상회담,20196271,10062025,20111976
154,담보,20199816,10035832,10087280
155,닥터 두리틀,20199581,10016538,20272630
156,삼진그룹 영어토익반,20197121,10001670,20110323
157,정직한 후보,20193321,10013826,10004099
158,도굴,20192193,10057349,20134255
159,클로젯,20182447,10087253,10003788
160,오케이 마담,20199883,10047352,10028773
161,해치지않아,20183002,10043631,20112885
162,천문: 하늘에 묻는다,20184571,10072251,10087518
163,결백,20183813,20232987,10030226
164,1917,20192399,10067068,20345735
165,작은 아씨들,20192240,10040143,10049635
166,미드웨이,20196272,10082878,10082678
167,지푸라기라도 잡고 싶은 짐승들,20180962,10061252,10062025
168,미스터 주: 사라진 VIP,20188421,20110148,10004466
169,인비저블맨,20199842,10049433,
170,나쁜 녀석들: 포에버,20196670,10052967,10024676
171,국제수사,20184482,20127192,20200886
172,침입자,20197863,20066637,10004099
173,스타워즈: 라이즈 오브 스카이워커,20195462,10012332,20185628
174,스파이 지니어스,20192300,10052967,20272630
175,이웃사촌,20181983,10062023,10050151
176,온워드: 단 하루의 기적,20191048,20272630,10077262
177,소리도 없이,20194424,10053802,20152117
178,버즈 오브 프레이(할리 퀸의 황홀한 해방),20198431,10057917,10025732
179,원더 우먼 1984,20192567,10000433,10077251
180,오! 문희,20193666,10006877,10058320
181,그린랜드,20204008,10062791,10026215
182,위대한 쇼맨,20179462,10090817,10060933
183,런,20200294,10033980,20176443
184,뮬란,20193822,10053827,10056618
185,내가 죽던 날,20190582,10006380,20189363
186,신비아파트 극장판 하늘도깨비 대 요르문간드,20198374,20238067,20283550
187,프리즌 이스케이프,20207893,10009288,10056554
188,검객,20178401,10060612,20129449
189,조제,20201002,10087751,20279929
190,사라진 시간,20193859,10067353,10030161
191,밤쉘: 세상을 바꾼 폭탄선언,20204644,10035154,10008581
